Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File	Factor Value[Batch]	Term Source REF	Term Accession Number	Factor Value[Primary_Group]	Term Source REF	Term Accession Number	Factor Value[Media]	Term Source REF	Term Accession Number
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000502	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												02-D1B51-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bacillus (2) culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000503	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												04-D1B45-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Arthrobacter culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000504	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												06-D1B20-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Methylobacterium culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000505	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												08-Control-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Control media (no cells) _ BG-11 media supplemented with a metabolite extract of Microcoleus			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000506	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												10-L2B47-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bacillus (1) culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000507	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												12-L1B56-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bosea culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000508	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												14-L1B44-A.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Modestobacter culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000509	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												16-D1B51-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bacillus (2) culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000510	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												18-D1B45-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Arthrobacter culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000511	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												20-D1B20-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Methylobacterium culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000512	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												22-Control-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Control media (no cells) _ BG-11 media supplemented with a metabolite extract of Microcoleus			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000513	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												24-L2B47-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bacillus (1) culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000514	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												26-L1B56-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bosea culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000515	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												28-L1B44-B.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Modestobacter culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000516	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												30-D1B51-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bacillus (2) culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000517	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												32-D1B45-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Arthrobacter culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000518	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												34-D1B20-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Methylobacterium culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000519	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												36-Control-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Control media (no cells) _ BG-11 media supplemented with a metabolite extract of Microcoleus			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000520	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												38-L2B47-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bacillus (1) culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000521	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												40-L1B56-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Bosea culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000522	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												42-L1B44-C.d				Metabolite identification		m_metabolites_detected.txt	130729-Crossfeeding-6-Mv			Spent media of Modestobacter culture			 BG-11 media supplemented with a metabolite extract of Microcoleus		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000523	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												02-D1B51-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bacillus (2) culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000524	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												04-D1B45-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Arthrobacter culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000525	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												06-D1B20-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Methylobacterium culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000526	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												08-Control-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Control media (no cells) _ BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000527	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												10-L2B47-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bacillus (1) culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000528	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												12-L1B56-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bosea culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000529	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												14-L1B44-A.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Modestobacter culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000530	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												16-D1B51-B.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bacillus (2) culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000531	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												18-D1B45-B.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Arthrobacter culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000532	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												20-D1B20-B.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Methylobacterium culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000533	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												22-Control-B.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Control media (no cells) _ BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000534	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												24-L2B47-B.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bacillus (1) culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000535	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												26-L1B56-B-2.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bosea culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000536	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												28-L1B44-B.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Modestobacter culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000537	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												30-D1B51-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bacillus (2) culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000538	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												32-D1B45-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Arthrobacter culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000539	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												34-D1B20-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Methylobacterium culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000540	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												36-Control-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Control media (no cells) _ BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000541	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												38-L2B47-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bacillus (1) culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000542	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												40-L1B56-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Bosea culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000543	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												42-L1B44-C.d				Metabolite identification		m_metabolites_detected.txt	130801-Crossfeeding-6-Het			Spent media of Modestobacter culture			BG-11 media supplemented with a pooled metabolite extract of six heterotrophs (Table 1 in the main text)		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000544	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												02-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000545	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												04-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000546	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												06-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000547	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												08-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000548	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												10-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000549	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												12-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000550	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												14-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000551	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												16-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000552	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												18-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
