database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
46					810.3997			-1	22.82260605											
47					677.2580			-1	23.46866931											
48	C7H16O7				211.0730			-1	22.60409476											
49					23.17820206			1	23.17820206											
50				3Hex+C7H16O7	697.2392			-1	22.37961622											
51					22.60933403			1	22.60933403											
52					22.36375354			1	22.36375354											
53					21.53106894			1	21.53106894											
54				Citrulline	22.06200983			1	22.06200983											
55					22.01601806			1	22.01601806											
56	C9H18N2O3				21.70319003			1	21.70319003											
57	C5H11N3O2			Guanidinobutanoate	22.02491164	"Has 41, 43, 45, 60, 69, 86, 87, 104, 111 fragments in positive mode MS/MS"		1	22.02491164											
58					21.83909437			1	21.83909437											
59					22.1049482			1	22.1049482											
60	C10H19N5O4				22.75685975	multiple glutamine fragments in positive mode MS/MS		1	22.75685975											
61	C5H11NO3S			Methionine sulfoxide	21.34289565	"Has 46, 56, 74, 102, 149 fragments in positive mode MS/MS"		1	21.34289565											
62				Glutamine	21.39454316			1	21.39454316											
63	C6H12N2O3			AlaAla	159.0764	Has 90 and 44 fragments in positive mode MS/MS		-1	21.18900917											
64				Dihexose	341.1089			-1	21.07068084											
65	C7H14N2O3				23.36727941	"MS/MS different from acetylornithine, gluval, ethylglutamine"		1	23.36727941											
66					23.108973			1	23.108973											
67					22.76796047			1	22.76796047											
68	C7H14N2O3			Acetylornithine	22.23165396	"Has 43, 70, 115, 116, 157, 158 fragments in positive mode MS/MS"		1	22.23165396											
69	C8H16N2O3				22.17204225			1	22.17204225											
70					22.10954001			1	22.10954001											
71					21.82824474			1	21.82824474											
72				Mercaptohistidine betaine	21.7862962			1	21.7862962											
73				2Hex+C7H16O7	21.66883447			1	21.66883447											
74					22.02342697	Possibly C18H15NO3		1	22.02342697											
75				2Hex+glycerol	415.1468			-1	21.24253315											
76	C8H15NO3				21.44151512			1	21.44151512											
77					21.53027388			1	21.53027388											
78					20.85440816			1	20.85440816											
79					20.47722525			1	20.47722525											
80	C6H13N3O2				20.92580304			1	20.92580304											
81	C5H9NO3				20.43568024			1	20.43568024											
82					20.56740824			1	20.56740824											
83					21.07212261			1	21.07212261											
84	C7H14N2O3				20.32135108	MS/MS different from  acetylornithine or glycylvaline		1	20.32135108											
85	C7H15N3O3				20.50902904	"Has 113, 159 citrulline fragments, different from homocitrulline fragments, methylcitrulline?"		1	20.50902904											
86					19.91367527			1	19.91367527											
87	C9H19O11P			Glucosylglycerolphosphate	19.7743394	has phosphate fragment (98.984) in positive mode MS/MS		1	19.7743394											
88	C10H20N4O3				19.67742464	multiple peaks		1	19.67742464											
89					20.94746911			1	20.94746911											
90					20.8751631			1	20.8751631											
91				HEPES	237.0868			-1	20.58680883											
92					20.04631439			1	20.04631439											
93					20.53417783			1	20.53417783											
94	C9H15N3O2				20.29294068	Histidine betaine - fragment of something bigger?		1	20.29294068											
95	C9H17NO3				21.29245855			1	21.29245855											
96					21.26193062			1	21.26193062											
97					21.06021308			1	21.06021308											
98					20.80003857	two peaks		1	20.80003857											
99					23.38466167	"very broad, possibly C15H23N3O4, has proline fragments (70, 116) in positive mode MS/MS, could be ProProPro"		1	23.38466167											
100					20.47133038	two peaks		1	20.47133038											
101	C13H21N3O3				20.26290334			1	20.26290334											
102	C6H15NO2				20.09219392			1	20.09219392											
103					20.60487873			1	20.60487873											
104	C10H18N2O6S			Glu-methionine sulfoxide	20.10542638	Has methionine sulfoxide fragments in positive mode MS/MS		1	20.10542638											
105					253.0852	Glucosylglycerol related		-1	20.01891923											
106					20.20896792			1	20.20896792											
107				Proline	20.03581717	two peaks		1	20.03581717											
108					19.74782109	two peaks		1	19.74782109											
109					19.73377716			1	19.73377716											
110	C8H16N2O3			Acetyllysine	19.66185077	"Has 56, 84, and 126 fragments in positive mode MS/MS"		1	19.66185077											
111				Glycine betaine	19.55367152			1	19.55367152											
112					19.39450784			1	19.39450784											
113				_GluVal	245.1129			-1	19.38535361											
114	C9H18NO10S				317.0548	"Possibly sulfoquinovosylglycerol, has many of the same glucosylglycerol fragments in positive mode MS/MS"		-1	19.69312129											
115					19.30863308			1	19.30863308											
116					19.44918962	possibly C6H9N3O3S		1	19.44918962											
117					19.59845621			1	19.59845621											
118	C6H10N2O3				19.69053394	"correlated peak with m/z 206, 113, 70"		1	19.69053394											
119	C6H12N2O3				20.06076498			1	20.06076498											
120				Oligosaccharide	20.1280444	"looks oligosaccharide like based on neutral losses in positive mode MS/MS; has ammonium and sodium adducts, possibly C25H38N2O21"		1	20.1280444											
121					20.11060539			1	20.11060539											
122					20.06061412			1	20.06061412											
123					19.9860244			1	19.9860244											
124				Glutamate	20.08801277			1	20.08801277											
125					20.08097584			1	20.08097584											
126	C9H18N2O5				20.08742421			1	20.08742421											
127					20.40482592			1	20.40482592											
128					19.62347564			1	19.62347564											
129				Acetylglutamate	19.51270137			1	19.51270137											
130					19.55488011			1	19.55488011											
131	C15H29O16P				19.8786795	"has phosphate 98.984 fragment in positive mode MS/MS, possibly 2Hex+glycerol phosphate"		1	19.8786795											
132					19.79978766			1	19.79978766											
133				Hexosylglycerol	253.0920			-1	18.99813442											
134				_GluLeu/Ile	259.1286	two peaks		-1	18.91287561											
135					18.50064735			1	18.50064735											
136					19.3041184	multiple peaks		1	19.3041184											
137				_GluMet	19.11717752			1	19.11717752											
138					19.17973256			1	19.17973256											
139					19.17646455			1	19.17646455											
140	C6H11NO2			Pipecolic acid	19.14296871	Has 84 and 56 fragments in positive mode MS/MS		1	19.14296871											
141					18.50362788			1	18.50362788											
142					17.70117355	"multiple peaks, corr w 130 & 148"		1	17.70117355											
143					17.95039085	"possibly C15H27NO5, two peaks"		1	17.95039085											
144	C6H8N2O2				18.88164094	many fragments in positive mode MS/MS		1	18.88164094											
145	C19H30N2O12				477.1774	"Possibly GlcNAc with anhydro MurNAc, has multiple chitobiose  fragments in positive mode MS/MS (126,138, 168, 186, 204)"		-1	18.54995991											
146					18.49508291			1	18.49508291											
147					17.84085129	possibly C13H19N3O3S		1	17.84085129											
148	C6H6N2O2			Urocanic acid	18.04486762			1	18.04486762											
149				Methionine	17.68923094			1	17.68923094											
150					17.15171929			1	17.15171929											
151	C11H17NO7				16.49534117	"GlcNAc fragments, probably not anhydro-MurNAc, different adduct and fragments compared to our 2013 ACS Chem Biol paper"		1	16.49534117											
152					16.81695338			1	16.81695338											
153					17.24349379	possibly C14H23N3O4S		1	17.24349379											
154					17.23652389			1	17.23652389											
155					16.99122304			1	16.99122304											
156					16.86568457			1	16.86568457											
157	C6H12N2O3				16.94369214	MS/MS spectrum different from AlaAla		1	16.94369214											
158					17.76097812			1	17.76097812											
159					17.51418719			1	17.51418719											
160					17.71685102			1	17.71685102											
161					17.61369093			1	17.61369093											
162					17.52959461			1	17.52959461											
163					17.03639273			1	17.03639273											
164	C11H23NO2				16.42068962			1	16.42068962											
165					16.89742783			1	16.89742783											
166	C10H20N2O				16.65821243			1	16.65821243											
167					16.86498874			1	16.86498874											
168				Leucine/Isoleucine	16.75943339	two peaks		1	16.75943339											
169					16.25975285	possibly C9H19NO		1	16.25975285											
170				Phenylalanine	16.1059379			1	16.1059379											
171				Guanine	16.1636023			1	16.1636023											
172					15.39599358			1	15.39599358											
173	C9H18N2O				15.50307602			1	15.50307602											
174					14.41247999			1	14.41247999											
175					14.59570557			1	14.59570557											
176					13.12848593			1	13.12848593											
177				Xanthine	151.0255			-1	13.63918698											
178					17.08140955			1	17.08140955											
179					17.35328634			1	17.35328634											
180					16.36576961	possibly C11H23NO9		1	16.36576961											
181	C14H23N3O3S				16.09355443			1	16.09355443											
182					16.31228392			1	16.31228392											
183					692.2762			-1	16.39409468											
184					16.35182219			1	16.35182219											
185					16.01680261			1	16.01680261											
186					16.43364716			1	16.43364716											
187					15.84239299			1	15.84239299											
188					15.34177345			1	15.34177345											
189					15.73609406			1	15.73609406											
190					15.15616391			1	15.15616391											
191					15.16518977			1	15.16518977											
192					15.15042097			1	15.15042097											
193					15.16775007	corr w 134		1	15.16775007											
194					16.40006691	possibly C11H22N2O		1	16.40006691											
195					16.38118939			1	16.38118939											
196				Tryptophan	16.57735552			1	16.57735552											
197					16.12974161			1	16.12974161											
198					15.69198268			1	15.69198268											
199					15.80070454			1	15.80070454											
200					15.83735365			1	15.83735365											
201					15.35971277			1	15.35971277											
202				Cytosine	15.08411745			1	15.08411745											
203					15.30771607			1	15.30771607											
204					15.17028663			1	15.17028663											
205					15.25454294			1	15.25454294											
206					16.00156513			1	16.00156513											
207					15.05740458			1	15.05740458											
208	C27H50O12				14.50250649	has hexosylglycerol looking fragments in positive mode MS/MS		1	14.50250649											
209	C34H62O17				14.73398205	has hexosylglycerol and dihexosylglycerol looking fragments in positive mode MS/MS		1	14.73398205											
210					14.78207768			1	14.78207768											
211					14.50646545			1	14.50646545											
212	C10H7NO3				14.68898235			1	14.68898235											
213					14.82717857			1	14.82717857											
214					14.50007358			1	14.50007358											
215					14.32667348			1	14.32667348											
216	C11H15N5O5			Methylguanosine	14.35574836	Has 166 and 149 fragments in positive mode MS/MS		1	14.35574836											
217					13.91598342			1	13.91598342											
218					14.10072994			1	14.10072994											
219					13.41529524	possibly C8H19N		1	13.41529524											
220				Methylguanine	13.36129381	"two peaks, MS/MS consistent with 7-methylguanine, different from 1-methylguanine (Metlin)"		1	13.36129381											
221	C4H4N2O2				13.41793694	"same formula as uracil, however, no 70 fragment, but 55 fragment in positive mode MS/MS"		1	13.41793694											
222					13.42940883			1	13.42940883											
223					13.07729382			1	13.07729382											
224					13.33378991			1	13.33378991											
225				Hypoxanthine	13.16699898			1	13.16699898											
226					13.37551119			1	13.37551119											
227					12.9276166			1	12.9276166											
228					13.41188019			1	13.41188019											
229					13.43965482			1	13.43965482											
230					13.2717118			1	13.2717118											
231					13.5266397			1	13.5266397											
232					13.36180746			1	13.36180746											
233					13.20463468			1	13.20463468											
234					13.26419808			1	13.26419808											
235					13.14627688			1	13.14627688											
236					12.98170792			1	12.98170792											
237					12.94796267	two peaks		1	12.94796267											
238	C12H25NO2				12.39143005			1	12.39143005											
239					12.77122497			1	12.77122497											
240					14.99364625			1	14.99364625											
241					14.86351802			1	14.86351802											
242					14.77046706	two peaks		1	14.77046706											
243					14.3320252			1	14.3320252											
244					14.45573748	two peaks		1	14.45573748											
245					14.20569628			1	14.20569628											
246					14.05947393			1	14.05947393											
247					14.28717883			1	14.28717883											
248					13.46536439			1	13.46536439											
249				Methylcytosine	13.8266883	"Has 54, 55, 81, 82, 83, 108, 109 fragments in positive mode MS/MS. Corr w 115, 247"		1	13.8266883											
250					13.45498346			1	13.45498346											
251					13.75926008			1	13.75926008											
252					13.3249182			1	13.3249182											
253					13.16987232			1	13.16987232											
254					13.01027334			1	13.01027334											
255					12.93316428			1	12.93316428											
256					12.67986957			1	12.67986957											
257					11.96654273			1	11.96654273											
258					12.46627391			1	12.46627391											
259					11.40756259			1	11.40756259											
260					12.11583998			1	12.11583998											
261					12.05711576			1	12.05711576											
262					12.13511714			1	12.13511714											
263	C5H8N2O2				11.28304701			1	11.28304701											
264					11.69946136			1	11.69946136											
265	C5H7N3O				11.33170925	"Has 5-methylcytosine fragments (MassBank), but additional ones as well"		1	11.33170925											
266	C6H7N5O			Methylguanine	11.18073571	"MS/MS consistent with 1-methylguanine, different from 7-methylguanine (Metlin)"		1	11.18073571											
267				Adenine	134.0492			-1	10.17071676											
268					11.93229114			1	11.93229114											
269					11.01030063			1	11.01030063											
270				Adenosine	11.19858065			1	11.19858065											
271	C6H6N4O				11.21132043	Possibly methylhypoxanthine		1	11.21132043											
272					10.61603474			1	10.61603474											
273					10.13742243			1	10.13742243											
274					9.744256916			1	9.744256916											
275					10.5173335			1	10.5173335											
276					9.746481581	two peaks		1	9.746481581											
277					9.794289356			1	9.794289356											
278					11.08136344			1	11.08136344											
279					10.3102615			1	10.3102615											
280					10.25032675			1	10.25032675											
281					10.14284342			1	10.14284342											
282	C9H18N2O2				10.31797274			1	10.31797274											
283	C6H7NO2				8.892593345			1	8.892593345											
284					8.586749113			1	8.586749113											
285	C4H4N2O2			Uracil	8.179501093	"Has 96, 70, 53 and 40 fragments in positive mode MS/MS"		1	8.179501093											
286					8.035293439	possibly C16H35NO3		1	8.035293439											
287					7.990025084			1	7.990025084											
288					8.014897797			1	8.014897797											
289					9.885671915			1	9.885671915											
290					9.360925982	Possibly C7H10N4O		1	9.360925982											
291	C6H7N5			Methyladenine	9.084873935	"corr w 126, 272, not in MS/MS of 272; 126 not in MS/MS of this ion; has 133, 109, 92, 66, 65, 55 fragments in positive mode MS/MS"		1	9.084873935											
292					9.003781895			1	9.003781895											
293					8.091006057			1	8.091006057											
294					7.978698848			1	7.978698848											
295					7.946858925			1	7.946858925											
296	C9H17NO				7.839540606			1	7.839540606											
297	C8H15O8				7.846281424			1	7.846281424											
298					6.090096237			1	6.090096237											
299					7.718439143			1	7.718439143											
300					7.938098048			1	7.938098048											
301					7.396281402	two peaks		1	7.396281402											
302	C12H23NO				7.218770773	two peaks		1	7.218770773											
303					6.948228335			1	6.948228335											
304					7.338013556			1	7.338013556											
305					7.2762389			1	7.2762389											
306					7.245813816			1	7.245813816											
307					249.1486			-1	6.826368405											
308					5.832598841			1	5.832598841											
309					4.890901439			1	4.890901439											
310					4.54779907			1	4.54779907											
311					4.630404538			1	4.630404538											
312					4.61265486			1	4.61265486											
313					4.657960306			1	4.657960306											
314					4.321726393			1	4.321726393											
315					4.245691688			1	4.245691688											
316					4.25564611			1	4.25564611											
317					4.202631802			1	4.202631802											
318					4.055523817			1	4.055523817											
319					4.163440152			1	4.163440152											
320					4.189935418			1	4.189935418											
321					4.038109722			1	4.038109722											
322					4.117598136			1	4.117598136											
323					4.129397166			1	4.129397166											
324					4.056282108			1	4.056282108											
325					3.988808085			1	3.988808085											
326					4.089845054	two peaks		1	4.089845054											
327					3.905047549			1	3.905047549											
328					4.059619464			1	4.059619464											
329					4.058080971			1	4.058080971											
330					3.877013967			1	3.877013967											
331					3.939389551			1	3.939389551											
332					485.2825			-1	3.231633904											
333					8.185601506			1	8.185601506											
334					7.918357692			1	7.918357692											
335					7.301733806			1	7.301733806											
336					7.20706051			1	7.20706051											
337					7.319452981			1	7.319452981											
338					7.579064824			1	7.579064824											
339					4.638154354			1	4.638154354											
340					4.616752913			1	4.616752913											
341					4.700096099			1	4.700096099											
342					4.385965057			1	4.385965057											
343					4.313263685			1	4.313263685											
344					4.210903469			1	4.210903469											
345					4.385053408			1	4.385053408											
346					4.210005106			1	4.210005106											
347					4.112959296			1	4.112959296											
348					3.900634116			1	3.900634116											
349					4.178985507			1	4.178985507											
350					3.90496676			1	3.90496676											
351					3.945757151			1	3.945757151											
352					3.884260883			1	3.884260883											
353					3.90833559			1	3.90833559											
354					8.11096222	Has hexosylglycerol looking fragments in positive mode MS/MS		1	8.11096222											
355					8.237284035			1	8.237284035											
356					8.064054254			1	8.064054254											
357					8.083934611			1	8.083934611											
358					8.433088281			1	8.433088281											
359					8.037081292			1	8.037081292											
360					8.552400161			1	8.552400161											
361					8.47443115			1	8.47443115											
362					8.270505867			1	8.270505867											
363					7.901843381			1	7.901843381											
364					7.971565759			1	7.971565759											
365					8.179263531			1	8.179263531											
366					7.907276195			1	7.907276195											
367					7.877157652			1	7.877157652											
368					7.783001145			1	7.783001145											
369					7.622360279			1	7.622360279											
370	C12H17N5O4			Dimethyladenosine	7.63216045			1	7.63216045											
371					6.766136269			1	6.766136269											
372					6.587937552			1	6.587937552											
373					6.395319277			1	6.395319277											
374					6.39532554			1	6.39532554											
375					6.660725855			1	6.660725855											
376	C7H12N2O2				7.030779582			1	7.030779582											
377					5.951274044			1	5.951274044											
378					6.031633397			1	6.031633397											
379					6.278596144	Possibly C6H12N6O3		1	6.278596144											
380					6.031633397			1	6.031633397											
381					7.906214175			1	7.906214175											
382					6.107008144	two peaks		1	6.107008144											
383					5.156119011			1	5.156119011											
384					5.347794915			1	5.347794915											
385					5.98925102			1	5.98925102											
386					7.003673934			1	7.003673934											
387					7.830118363			1	7.830118363											
388	C7H14N2O2				6.46386228			1	6.46386228											
389					3.985909868			1	3.985909868											
390					4.380565553			1	4.380565553											
391					4.356184797			1	4.356184797											
392					4.171398596			1	4.171398596											
393					4.153978967			1	4.153978967											
394					4.502455847			1	4.502455847											
395					7.553840069			1	7.553840069											
396					4.580140885			1	4.580140885											
397					4.614650477			1	4.614650477											
398					4.511918414			1	4.511918414											
399					4.367661916			1	4.367661916											
400					4.659071708			1	4.659071708											
401					4.420517068			1	4.420517068											
402					4.464666873			1	4.464666873											
403					4.715555897			1	4.715555897											
404					4.487116194			1	4.487116194											
405					4.719225951			1	4.719225951											
406					4.423382984			1	4.423382984											
407					4.467599202			1	4.467599202											
408					4.684417934			1	4.684417934											
409					4.493712566			1	4.493712566											
410					4.458909042			1	4.458909042											
411					4.487116194			1	4.487116194											
412					4.370199983			1	4.370199983											
413					4.389154984			1	4.389154984											
414					4.314958573			1	4.314958573											
415					4.450580545			1	4.450580545											
416					4.04964103			1	4.04964103											
417					4.239620199			1	4.239620199											
418					4.382675806			1	4.382675806											
419					4.296694763			1	4.296694763											
420					4.191662628			1	4.191662628											
421					4.242220533			1	4.242220533											
422					4.473433539			1	4.473433539											
423	C21H42O4				4.204971561			1	4.204971561											
424					4.029126628			1	4.029126628											
425					4.142401131			1	4.142401131											
426					4.309153925			1	4.309153925											
427					4.012587649			1	4.012587649											
428					4.31031016			1	4.31031016											
429					3.884898573			1	3.884898573											
430					4.384986885			1	4.384986885											
431					3.98977736			1	3.98977736											
432					4.034971738			1	4.034971738											
433					3.991227698			1	3.991227698											
434					3.902212691			1	3.902212691											
435					3.8975668			1	3.8975668											
436					817.5176			-1	3.937068822											
437					8.501449413			1	8.501449413											
438	C11H15N5O4			Methyladenosine	9.026037478	Has 150 and 133 fragments in positive mode MS/MS		1	9.026037478											
439	C11H17N3O5			Dimethylcytidine	9.215550642	"Has methylcytosine fragments (108, 109, 126) in positive mode MS/MS, the other methyl probably on the pentose"		1	9.215550642											
440				Kynurenic acid	8.967849531	"Has 172, 144, 116, 89 fragments in positive mode MS/MS"		1	8.967849531											
441					29.09410576	two peaks		1	29.09410576											
442					10.2887573	Possibly C21H37N		1	10.2887573											
443					10.13805433	Possibly C23H41N		1	10.13805433											
444	C4H11NO3				29.65598318	"DBE 0, possibly TRIS"		1	29.65598318											
445	C18H36O2			C18:0 fatty acid	283.2639			-1	5.083542982											
446	C16H32O2			C16:0 fatty acid	255.2322			-1	4.288171969											
447	C14H28O2			C14:0 fatty acid	227.2011			-1	4.348506139											
448					426.9698			-1	4.476804732											
449					213.9630			-1	7.403037173											
450	C10H20O2			C10:0 fatty acid	171.1384			-1	6.788554452											
451	C7H8O3S			C7H8O3S	171.0112			-1	7.901355164											
452	C7D5HO2			IS1	126.0609	Internal standard (D5-benzoic acid)		-1	8.022841129											
453	C7H6O3			Hydroxybenzoic acid	137.0236	Has 93 and 65 fragments in negative mode MS/MS		-1	7.886313853											
454	C6H8O7			Citrate/Isocitrate	191.0198			-1	20.4420552											
455	C18H33O19P			3Hex phosphate	583.1303	"Has phosphate, HexP and 2HexP fragments in negative mode MS/MS"		-1	20.97585897											
456	C4H6O4			Succinate	117.0187	Has 71 fragment		-1	19.61786892											
457	C4H6O5			Malate	133.0139	Has 115 and 71 fragments		-1	19.82102156											
458	C7H12O5			2-isopropylmalate	175.0605	"Has 115, 113, 85 fragments"		-1	15.26443456											
459	C4H7NO4			Aspartate	132.0299	Has 115 and 88 fragments		-1	20.08341459											
460	C5H8O5			Citramalic acid	147.0290	"Has 57,85,87,103,129 fragments in negative mode"		-1	19.66726777											
461	C5H6O6S				192.9804			-1	18.5005314											
462	C9H10O4				181.0496			-1	19.37678711											
463	C9H18O10S				317.0547	"sulfite fragment in negative mode MS/MS, possibly sulfoquinovosylglycerol"		-1	19.51396754											
464	C9H18O11S				333.0505	"sulfate fragment in negative mode MS/MS, possibly sulfohexosylglycerol"		-1	18.45056826											
465	C8H14N2O5			_GluAla	217.0894	"Has 201, 90 fragments in positive mode"		-1	20.07904796											
466					565.1012	possibly C17H30N2O15S2		-1	20.14143946											
467	C9H16O9			Hexosylglycerate	267.0721			-1	19.50322195											
468	C15H22O3				249.1490	has CO2 neutral loss		-1	5.969846137											
469	C6H13N3O2				10.0032698			1	10.0032698											
470					27.65944483			1	27.65944483											
471					26.64739232	[M+2H]2+		1	26.64739232											
472					297.1528			-1	6.733929621											
